id_a,prenom_a,nom_a
,Rumi,Hiiragi
,Miyu,Irino
,Brad,Pitt
,Edward,Norton
,Jim,Carrey
,Renée,Zellweger
,Mel,Gibson
,Sophie,Marceau
,Gerard,Butler
,Eric,Bana
,Ben,Affleck
,Rosamund,Pike
,Romain,Duris
,Joaquin,Phoenix
,Amy,Adams
