id_r,prenom_r,nom_r
,Hayao,Miyazaki
,Bobby,Farrelly
,David,Fincher
,Spike,Jonze
,Cédric,Klapisch
,Zack,Snyder
,Petersen,Wolfgang
,Mel,Gibson
